,format_name,format_value
1,AUDIO_FORMAT_INVALID,0xFFFFFFFF
2,AUDIO_FORMAT_DEFAULT,0
3,AUDIO_FORMAT_PCM,0x00000000
4,AUDIO_FORMAT_MP3,0x01000000
5,AUDIO_FORMAT_AMR_NB,0x02000000
6,AUDIO_FORMAT_AMR_WB,0x03000000
7,AUDIO_FORMAT_AAC,0x04000000
8,AUDIO_FORMAT_HE_AAC_V1,0x05000000
9,AUDIO_FORMAT_HE_AAC_V2,0x06000000
10,AUDIO_FORMAT_VORBIS,0x07000000
11,AUDIO_FORMAT_OPUS,0x08000000
12,AUDIO_FORMAT_AC3,0x09000000
13,AUDIO_FORMAT_E_AC3,0x0A000000
14,AUDIO_FORMAT_DTS,0x0B000000
15,AUDIO_FORMAT_DTS_HD,0x0C000000
16,AUDIO_FORMAT_IEC61937,0x0D000000
17,AUDIO_FORMAT_DOLBY_TRUEHD,0x0E000000
18,AUDIO_FORMAT_EVRC,0x10000000
19,AUDIO_FORMAT_EVRCB,0x11000000
20,AUDIO_FORMAT_EVRCWB,0x12000000
21,AUDIO_FORMAT_EVRCNW,0x13000000
22,AUDIO_FORMAT_AAC_ADIF,0x14000000
23,AUDIO_FORMAT_WMA,0x15000000
24,AUDIO_FORMAT_WMA_PRO,0x16000000
25,AUDIO_FORMAT_AMR_WB_PLUS,0x17000000
26,AUDIO_FORMAT_MP2,0x18000000
27,AUDIO_FORMAT_QCELP,0x19000000
28,AUDIO_FORMAT_DSD,0x1A000000
29,AUDIO_FORMAT_FLAC,0x1B000000
30,AUDIO_FORMAT_ALAC,0x1C000000
31,AUDIO_FORMAT_APE,0x1D000000
32,AUDIO_FORMAT_AAC_ADTS,0x1E000000
33,AUDIO_FORMAT_SBC,0x1F000000
34,AUDIO_FORMAT_APTX,0x20000000
35,AUDIO_FORMAT_APTX_HD,0x21000000
36,AUDIO_FORMAT_AC4,0x22000000
37,AUDIO_FORMAT_LDAC,0x23000000
38,AUDIO_FORMAT_MAT,0x24000000
39,AUDIO_FORMAT_AAC_LATM,0x25000000
40,AUDIO_FORMAT_CELT,0x26000000
41,AUDIO_FORMAT_APTX_ADAPTIVE,0x27000000
42,AUDIO_FORMAT_LHDC,0x28000000
43,AUDIO_FORMAT_LHDC_LL,0x29000000
44,AUDIO_FORMAT_APTX_TWSP,0x2A000000
45,AUDIO_FORMAT_MAIN_MASK,0xFF000000
46,AUDIO_FORMAT_SUB_MASK,0x00FFFFFF
47,AUDIO_FORMAT_PCM_SUB_16_BIT,0x1
48,AUDIO_FORMAT_PCM_SUB_8_BIT,0x2
49,AUDIO_FORMAT_PCM_SUB_32_BIT,0x3
50,AUDIO_FORMAT_PCM_SUB_8_24_BIT,0x4
51,AUDIO_FORMAT_PCM_SUB_FLOAT,0x5
52,AUDIO_FORMAT_PCM_SUB_24_BIT_PACKED,0x6
53,AUDIO_FORMAT_MP3_SUB_NONE,0x0
54,AUDIO_FORMAT_AMR_SUB_NONE,0x0
55,AUDIO_FORMAT_AAC_SUB_MAIN,0x1
56,AUDIO_FORMAT_AAC_SUB_LC,0x2
57,AUDIO_FORMAT_AAC_SUB_SSR,0x4
58,AUDIO_FORMAT_AAC_SUB_LTP,0x8
59,AUDIO_FORMAT_AAC_SUB_HE_V1,0x10
60,AUDIO_FORMAT_AAC_SUB_SCALABLE,0x20
61,AUDIO_FORMAT_AAC_SUB_ERLC,0x40
62,AUDIO_FORMAT_AAC_SUB_LD,0x80
63,AUDIO_FORMAT_AAC_SUB_HE_V2,0x100
64,AUDIO_FORMAT_AAC_SUB_ELD,0x200
65,AUDIO_FORMAT_AAC_SUB_XHE,0x300
66,AUDIO_FORMAT_VORBIS_SUB_NONE,0x0
67,AUDIO_FORMAT_E_AC3_SUB_JOC,0x1
68,AUDIO_FORMAT_MAT_SUB_1_0,0x1
69,AUDIO_FORMAT_MAT_SUB_2_0,0x2
70,AUDIO_FORMAT_MAT_SUB_2_1,0x3
71,AUDIO_FORMAT_PCM_16_BIT,0x1
72,AUDIO_FORMAT_PCM_8_BIT,0x2
73,AUDIO_FORMAT_PCM_32_BIT,0x3
74,AUDIO_FORMAT_PCM_8_24_BIT,0x4
75,AUDIO_FORMAT_PCM_FLOAT,0x5
76,AUDIO_FORMAT_PCM_24_BIT_PACKED,0x6
77,AUDIO_FORMAT_AAC_MAIN,0x4000001
78,AUDIO_FORMAT_AAC_LC,0x4000002
79,AUDIO_FORMAT_AAC_SSR,0x4000004
80,AUDIO_FORMAT_AAC_LTP,0x4000008
81,AUDIO_FORMAT_AAC_HE_V1,0x4000010
82,AUDIO_FORMAT_AAC_SCALABLE,0x4000020
83,AUDIO_FORMAT_AAC_ERLC,0x4000040
84,AUDIO_FORMAT_AAC_LD,0x4000080
85,AUDIO_FORMAT_AAC_HE_V2,0x4000100
86,AUDIO_FORMAT_AAC_ELD,0x4000200
87,AUDIO_FORMAT_AAC_XHE,0x4000300
88,AUDIO_FORMAT_AAC_ADTS_MAIN,0x1e000001
89,AUDIO_FORMAT_AAC_ADTS_LC,0x1e000002
90,AUDIO_FORMAT_AAC_ADTS_SSR,0x1e000004
91,AUDIO_FORMAT_AAC_ADTS_LTP,0x1e000008
92,AUDIO_FORMAT_AAC_ADTS_HE_V1,0x1e000010
93,AUDIO_FORMAT_AAC_ADTS_SCALABLE,0x1e000020
94,AUDIO_FORMAT_AAC_ADTS_ERLC,0x1e000040
95,AUDIO_FORMAT_AAC_ADTS_LD,0x1e000080
96,AUDIO_FORMAT_AAC_ADTS_HE_V2,0x1e000100
97,AUDIO_FORMAT_AAC_ADTS_ELD,0x1e000200
98,AUDIO_FORMAT_AAC_ADTS_XHE,0x1e000300
99,AUDIO_FORMAT_AAC_LATM_LC,0x25000002
100,AUDIO_FORMAT_AAC_LATM_HE_V1,0x25000010
101,AUDIO_FORMAT_AAC_LATM_HE_V2,0x25000100
102,AUDIO_FORMAT_E_AC3_JOC,0xA000001
103,AUDIO_FORMAT_MAT_1_0,0x24000001
104,AUDIO_FORMAT_MAT_2_0,0x24000002
105,AUDIO_FORMAT_MAT_2_1,0x24000003
