file_name,module_name,mixPort_name,format,devicePort_name,audiodev_name
keyword,"module name=""","mixPort name=""","profile name=""","devicePort tagName=""","devicePort tagName="""
usecase_result\log_policy.txt,"primary
a2dp
usb","primary output
raw
deep_buffer
hifi_playback
compress_passthrough
direct_pcm
compressed_offload
dsd_compress_passthrough
voice_tx
voip_rx
primary input
voip_tx
surround_sound
record_24
voice_rx
hifi_input
a2dp input
usb_accessory output","AUDIO_FORMAT_PCM_16_BIT
dynamic
AUDIO_FORMAT_PCM_8_24_BIT
AUDIO_FORMAT_PCM_24_BIT_PACKED
AUDIO_FORMAT_PCM_32_BIT
AUDIO_FORMAT_MP3
AUDIO_FORMAT_FLAC
AUDIO_FORMAT_ALAC
AUDIO_FORMAT_APE
AUDIO_FORMAT_AAC_LC
AUDIO_FORMAT_AAC_HE_V1
AUDIO_FORMAT_AAC_HE_V2
AUDIO_FORMAT_DTS
AUDIO_FORMAT_DTS_HD
AUDIO_FORMAT_WMA
AUDIO_FORMAT_WMA_PRO
AUDIO_FORMAT_VORBIS
AUDIO_FORMAT_AAC_ADTS_LC
AUDIO_FORMAT_AAC_ADTS_HE_V1
AUDIO_FORMAT_AAC_ADTS_HE_V2
AUDIO_FORMAT_DSD
AUDIO_FORMAT_PCM_FLOAT","Earpiece
Speaker
Wired Headset
Wired Headphones
Line
BT SCO
BT SCO Headset
BT SCO Car Kit
Telephony Tx
HDMI
Proxy
FM
BT A2DP Out
BT A2DP Headphones
BT A2DP Speaker
USB Device Out
USB Headset Out
Built-In Mic
Built-In Back Mic
FM Tuner
Wired Headset Mic
BT SCO Headset Mic
Telephony Rx
USB Device In
USB Headset In
BT A2DP In
USB Host Out","AUDIO_DEVICE_OUT_EARPIECE
AUDIO_DEVICE_OUT_SPEAKER
AUDIO_DEVICE_OUT_WIRED_HEADSET
AUDIO_DEVICE_OUT_WIRED_HEADPHONE
AUDIO_DEVICE_OUT_LINE
AUDIO_DEVICE_OUT_BLUETOOTH_SCO
AUDIO_DEVICE_OUT_BLUETOOTH_SCO_HEADSET
AUDIO_DEVICE_OUT_BLUETOOTH_SCO_CARKIT
AUDIO_DEVICE_OUT_TELEPHONY_TX
AUDIO_DEVICE_OUT_AUX_DIGITAL
AUDIO_DEVICE_OUT_PROXY
AUDIO_DEVICE_OUT_FM
AUDIO_DEVICE_OUT_BLUETOOTH_A2DP
AUDIO_DEVICE_OUT_BLUETOOTH_A2DP_HEADPHONES
AUDIO_DEVICE_OUT_BLUETOOTH_A2DP_SPEAKER
AUDIO_DEVICE_OUT_USB_DEVICE
AUDIO_DEVICE_OUT_USB_HEADSET
AUDIO_DEVICE_IN_BUILTIN_MIC
AUDIO_DEVICE_IN_BACK_MIC
AUDIO_DEVICE_IN_FM_TUNER
AUDIO_DEVICE_IN_WIRED_HEADSET
AUDIO_DEVICE_IN_BLUETOOTH_SCO_HEADSET
AUDIO_DEVICE_IN_TELEPHONY_RX
AUDIO_DEVICE_IN_USB_DEVICE
AUDIO_DEVICE_IN_USB_HEADSET
AUDIO_DEVICE_IN_BLUETOOTH_A2DP
AUDIO_DEVICE_OUT_USB_ACCESSORY"
