app_id,app_id_name,app_id_10,"acdb_usecase
audio_output_policy"
0x11130,DEFAULT_APP_TYPE_RX_PATH,69936,
0x11132,DEFAULT_APP_TYPE_TX_PATH,69938,
0x11130,ACDB_APPTYPE_GENERAL_PLAYBACK,69936,"deep_buffer
direct_pcm_16
compress_offload_16"
0x11131,ACDB_APPTYPE_SYSTEM_SOUNDS,69937,default
0x11132,ACDB_APPTYPE_GENERAL_RECORDING,69938,
0x11133,ACDB_APPTYPE_VOICE_RECOGNITION,69939,
0x11134,ACDB_APPTYPE_COMPRESS_OFFLOAD_24BIT,69940,"direct_pcm_24
compress_offload_24"
0x11135,ACDB_APPTYPE_COMPRESSED_PASSTHROUTH,69941,compress_passthrough
0x11136,ACDB_APPTYPE_COMPRESS_OFFLOAD_36BIT,69942,direct_pcm_32
0x11137,ACDB_APPTYPE_RECORD_FLUENCE,69943,
0x1113a,APP_TYPE_VOIP_AUDIO,69946,voip_rx
