,output_flag_name,output_flag_value
1,AUDIO_OUTPUT_FLAG_NONE,0x0
2,AUDIO_OUTPUT_FLAG_DIRECT,0x1
3,AUDIO_OUTPUT_FLAG_PRIMARY,0x2
4,AUDIO_OUTPUT_FLAG_FAST,0x4
5,AUDIO_OUTPUT_FLAG_DEEP_BUFFER,0x8
6,AUDIO_OUTPUT_FLAG_COMPRESS_OFFLOAD,0x10
7,AUDIO_OUTPUT_FLAG_NON_BLOCKING,0x20
8,AUDIO_OUTPUT_FLAG_HW_AV_SYNC,0x40
9,AUDIO_OUTPUT_FLAG_TTS,0x80
10,AUDIO_OUTPUT_FLAG_RAW,0x100
11,AUDIO_OUTPUT_FLAG_SYNC,0x200
12,AUDIO_OUTPUT_FLAG_IEC958_NONAUDIO,0x400
13,AUDIO_OUTPUT_FLAG_DIRECT_PCM,0x2000
14,AUDIO_OUTPUT_FLAG_MMAP_NOIRQ,0x4000
15,AUDIO_OUTPUT_FLAG_VOIP_RX,0x8000
16,AUDIO_OUTPUT_FLAG_INCALL_MUSIC,0x10000
17,AUDIO_OUTPUT_FLAG_COMPRESS_PASSTHROUGH,0x1000
18,AUDIO_OUTPUT_FLAG_INTERACTIVE,0x4000000
19,AUDIO_OUTPUT_FLAG_BD,0x40000000
20,AUDIO_OUTPUT_FLAG_TIMESTAMP,0x20000000
21,AUDIO_OUTPUT_FLAG_ASSOCIATED,0x10000000
22,AUDIO_OUTPUT_FLAG_MAIN,0x8000000
