n_video_source,video_source,,n_output_format,output_format,,n_audio_encoder,audio_encoder,,n_video_encoder,video_encoder
0,VIDEO_SOURCE_DEFAULT,,0,OUTPUT_FORMAT_DEFAULT,,0,AUDIO_ENCODER_DEFAULT,,0,VIDEO_ENCODER_DEFAULT
1,VIDEO_SOURCE_CAMERA,,1,OUTPUT_FORMAT_THREE_GPP,,1,AUDIO_ENCODER_AMR_NB,,1,VIDEO_ENCODER_H263
2,VIDEO_SOURCE_SURFACE,,2,OUTPUT_FORMAT_MPEG_4,,2,AUDIO_ENCODER_AMR_WB,,2,VIDEO_ENCODER_H264
,,,3,OUTPUT_FORMAT_AUDIO_ONLY_START,,3,AUDIO_ENCODER_AAC,,3,VIDEO_ENCODER_MPEG_4_SP
,,,3,OUTPUT_FORMAT_RAW_AMR,,4,AUDIO_ENCODER_HE_AAC,,4,VIDEO_ENCODER_VP8
,,,3,OUTPUT_FORMAT_AMR_NB,,5,AUDIO_ENCODER_AAC_ELD,,5,VIDEO_ENCODER_HEVC
,,,4,OUTPUT_FORMAT_AMR_WB,,6,AUDIO_ENCODER_VORBIS,,,
,,,5,OUTPUT_FORMAT_AAC_ADIF,,7,AUDIO_ENCODER_OPUS,,,
,,,6,OUTPUT_FORMAT_AAC_ADTS,,10,AUDIO_ENCODER_EVRC,,,
,,,7,OUTPUT_FORMAT_AUDIO_ONLY_END,,11,AUDIO_ENCODER_QCELP,,,
,,,7,OUTPUT_FORMAT_RTP_AVP,,12,AUDIO_ENCODER_LPCM,,,
,,,8,OUTPUT_FORMAT_MPEG2TS,,13,AUDIO_ENCODER_MPEGH,,,
,,,9,OUTPUT_FORMAT_WEBM,,,,,,
,,,10,OUTPUT_FORMAT_HEIF,,,,,,
,,,11,OUTPUT_FORMAT_OGG,,,,,,
,,,20,OUTPUT_FORMAT_QCP,,,,,,
,,,21,OUTPUT_FORMAT_WAVE,,,,,,
